dataset,model,seed,data_ratio,train_size,hyperparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,per_class_f1,train_time,inference_time,throughput,model_size_mb
ag_news,tfidf_lr,123,0.1,10800,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.89975,0.8994570572092526,0.8935526315789474,0.8931533439767383,"[0.90199203187251, 0.9518165421283175, 0.8563081009296148, 0.862496700976511]",3.220122814178467,0.2554969787597656,29745.948609224062,0.1
ag_news,tfidf_lr,456,0.1,10800,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9001666666666667,0.8998766688013251,0.8951315789473684,0.8947023668272387,"[0.899867197875166, 0.9549317537986093, 0.8567632208344406, 0.867247294800739]",3.4146480560302734,0.27808308601379395,27329.96137572715,0.1
ag_news,tfidf_lr,42,0.05,5400,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8895,0.8891693775530284,0.8860526315789473,0.8856383451635684,"[0.8898936170212766, 0.9461756373937678, 0.8494167550371156, 0.8570673712021136]",2.453205108642578,0.24623394012451172,30864.957106063248,0.1
ag_news,tfidf_lr,123,0.05,5400,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.88825,0.8879289135799786,0.8793421052631579,0.8789692453828252,"[0.8851674641148325, 0.9409032258064516, 0.8424114225277631, 0.8473948690822534]",1.8816187381744385,0.24170517921447754,31443.26499208412,0.1
ag_news,tfidf_lr,456,0.05,5400,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.89,0.889643196856172,0.8830263157894737,0.8825380817303222,"[0.890007951232441, 0.9472329472329473, 0.842580302628086, 0.8503311258278146]",1.8583111763000488,0.25127720832824707,30245.480879714367,0.1
ag_news,tfidf_lr,42,0.01,1080,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8364166666666667,0.8353434735303289,0.8321052631578948,0.830709191265478,"[0.8448185165702262, 0.8999749310604162, 0.7868227606860877, 0.791220556745182]",0.12246489524841309,0.7966310977935791,9540.174895318098,0.1
ag_news,tfidf_lr,123,0.01,1080,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8481666666666666,0.8474234501229653,0.834078947368421,0.8332075158656144,"[0.8455368693402329, 0.9089971642175818, 0.788309205135209, 0.7899868247694335]",0.20132994651794434,0.30385780334472656,25011.699276249303,0.1
ag_news,tfidf_lr,456,0.01,1080,"{""model_type"": ""lr"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.84875,0.8478695903325282,0.8409210526315789,0.8398708880168873,"[0.8506953555497245, 0.9108458216916434, 0.802677376171352, 0.7952649986548291]",0.20125579833984375,0.287341833114624,26449.333595530697,0.1
ag_news,tfidf_svm,42,1.0,108000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9261666666666667,0.9259408032295955,0.9213157894736842,0.9210702063236408,"[0.9228709159078736, 0.9695247933884298, 0.8908898305084746, 0.9009952854897852]",14.502169847488403,0.33002805709838867,23028.34512562146,0.1
ag_news,tfidf_svm,123,1.0,108000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9261666666666667,0.9259408032295955,0.9213157894736842,0.9210702063236408,"[0.9228709159078736, 0.9695247933884298, 0.8908898305084746, 0.9009952854897852]",14.37514615058899,0.38312602043151855,19836.81502874706,0.1
