dataset,model,data_ratio,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,train_time_mean,train_time_std,inference_time_mean,inference_time_std,throughput_mean,throughput_std
ag_news,tfidf_lr,0.01,0.835701754385965,0.004626517369817386,0.8345958650493266,0.004736011711675948,0.1750168800354003,0.045511368945318376,0.46261024475097656,0.2893883930268133,20333.73592236603,9375.095617776386
ag_news,tfidf_lr,0.05,0.8828070175438597,0.003360633816577243,0.8823818907589053,0.003337292268597639,2.064378341039022,0.33693545674788317,0.2464054425557454,0.004788318614258254,30851.234325953916,599.0099590005136
ag_news,tfidf_lr,0.1,0.8957456140350878,0.002555930225321705,0.895353568257195,0.0025880184281311357,3.089272975921631,0.4068978981668087,0.25476296742757154,0.023695652234569497,30005.9547878989,2815.0166564682195
ag_news,tfidf_lr,0.25,0.9072368421052631,0.0008217102629471416,0.9069516580345328,0.0008485762327452097,5.632625579833984,0.75418236337035,0.283222754796346,0.018724926339274663,26910.118584795546,1727.412959189798
ag_news,tfidf_lr,0.5,0.9130263157894737,0.000732600574056595,0.9127841592236517,0.0007457822451626704,9.329663594563803,0.551164109589375,0.3103183110555013,0.06729909865169832,25242.002374698528,5228.07584165537
ag_news,tfidf_lr,1.0,0.9207894736842105,0.0,0.920602670741164,0.0,21.266720453898113,2.431664495383713,0.39900533358256024,0.03961590812950627,19173.442960495595,1907.9021813752836
ag_news,tfidf_svm,0.01,0.8356578947368422,0.005077310889888013,0.8341164121110839,0.005275588984227029,0.08433477083841952,0.011388123239509046,0.24676664670308426,0.018030216825043997,30904.551348044373,2181.2839049654326
ag_news,tfidf_svm,0.05,0.8830263157894738,0.001423243924525231,0.8824026634897706,0.0014061207314384717,0.43115210533142084,0.03636988993502036,0.2555256684621175,0.0051083916294488415,29750.54580415487,595.5604037643135
ag_news,tfidf_svm,0.1,0.8947368421052632,0.0016798875440531343,0.8942379124206218,0.0017232576808372823,0.909839391708374,0.03957807856639017,0.2870670954386393,0.02148409167675206,26576.987621510034,2052.1646516424044
ag_news,tfidf_svm,0.25,0.9066666666666666,0.0006077371254628075,0.9063055077420504,0.0006391035835274034,2.6567975680033364,0.2465261337202042,0.31574805577596027,0.07946230601621472,24993.884151758975,5510.341404370908
ag_news,tfidf_svm,0.5,0.9143421052631581,0.00022790142204852278,0.9140640152485418,0.00023368542723603596,6.846943616867065,0.16290630972238193,0.3011840184529622,0.042744125182377725,25552.404559115446,3369.4432414980197
ag_news,tfidf_svm,1.0,0.9213157894736842,0.0,0.9210702063236408,0.0,14.701855341593424,0.46027413383451343,0.3494885762532552,0.02925042443915749,21843.54719060137,1747.3259554945548
imdb,tfidf_lr,0.01,0.8042666666666666,0.004799999999999999,0.8040344906493075,0.004727515558329865,0.07624427477518714,0.011974106545833753,0.7563495635986328,0.014103439213146367,9918.358907951546,185.75433434203487
imdb,tfidf_lr,0.05,0.8280444444444445,0.0035685872295370636,0.8276858776272252,0.003684647900687356,1.3300920327504475,0.0874112570958385,0.8430915673573812,0.09009166776502629,8960.589491846562,909.469963216187
imdb,tfidf_lr,0.1,0.8382666666666667,0.0001333333333333464,0.8379768461830133,0.00010793627342171927,1.4705865383148193,0.004302140567369273,0.7556596597035726,0.002824353667525346,9925.195639003832,37.154945227107795
imdb,tfidf_lr,0.25,0.8536888888888888,0.0017196037441914247,0.853533521552424,0.0017495814191355883,2.119456132253011,0.13841517932630298,0.7874612808227539,0.07641614427088908,9581.453879854556,883.9815685266058
imdb,tfidf_lr,0.5,0.8643111111111111,0.0016671110518676464,0.8642185748702008,0.0016614384718366439,3.4619184335072837,0.33115683651442523,0.7614483038584391,0.011985084336819617,9851.290399931442,156.24191220066885
imdb,tfidf_lr,1.0,0.8764,0.0,0.8763498782857742,0.0,5.509172439575195,0.5358302514596941,0.8246470292409261,0.11631090897268248,9207.719482906965,1200.9003926109517
imdb,tfidf_svm,0.01,0.8052444444444444,0.005202278703001594,0.8050850662547885,0.005115158765163937,0.0994658470153808,0.007498773355140779,1.03493865331014,0.019782593545099387,7248.57040163026,138.4399129376027
imdb,tfidf_svm,0.05,0.8523999999999999,0.00406830568063796,0.8523399661932709,0.0040409168667903325,0.5994813442230225,0.03382146119054585,1.129293441772461,0.1508311918241684,6715.486406472734,832.9494553710124
imdb,tfidf_svm,0.1,0.870488888888889,0.0015907137927265143,0.8704603340632427,0.001591068118276879,1.3171826998392742,0.0647331160154789,1.1499873797098796,0.009270951821461986,6522.092289103794,52.39320019734481
imdb,tfidf_svm,0.25,0.8852000000000001,0.0014422205101855717,0.8851909132530599,0.0014373533234995906,3.7006710370381675,0.23056331002405964,1.2372270425160725,0.05391350371852073,6069.4965648827565,260.05147724499966
imdb,tfidf_svm,0.5,0.8966222222222222,0.0012024666007528096,0.8966172231904576,0.0012047016481311055,7.359881083170573,0.1494047743394344,1.2366570631663005,0.07319631742711467,6078.648080824026,352.6714010995408
imdb,tfidf_svm,1.0,0.9050666666666668,0.0,0.905064479352271,0.0,17.338972409566242,2.5885564393001963,1.3941662311553955,0.04316769235210122,5382.969261111287,165.2116029192515
